Category|Title|Snippet
Business|Zero-carbon electricity outstrips fossil fuels in Britain across 2019|Summary: Zero-carbon energy became Britain’s largest electricity source in 2019, delivering nearly half the country’s electrical power and for the first time o …
Sport|Twenty athletes set to light up the Tokyo 2020 Olympics|Dina Asher-Smith Great Britain Athletics, 100m, 200m, 4x100m Seb Coe, who knows a thing or two about winning Olympic titles, believes Asher-Smith will …
Business|US election, Brexit and China to sway the markets in 2020|After profiting from strong markets in 2019, investors are expecting 2020 to bring further rising asset prices and lively merger activity. But Brexit, …
Politics|Clive Lewis calls for unity among Labour leadership hopefuls|Summary: The Labour leadership hopeful Clive Lewis has called for unity among would-be candidates to succeed Jeremy Corbyn as they confront the “cliff face” of …
Sport|Michael van Gerwen 3-7 Peter Wright: PDC world darts championship final – as it happened|Summary: That’s it for tonight’s blog, so I’ll leave you with a report from Ally Pally. Thanks for your company, goodnight! There’s so much affection for Peter …
Business|Greggs launches meatless steak bake to beef up its vegan range|Greggs, the UK’s largest bakery chain, will end speculation about its hotly anticipated new vegan snack by launching a meat-free version of its popula …
Politics|Sadiq Khan pledges free London travel for disabled people's carers|Sadiq Khan has kickstarted his bid for a second term as London mayor by pledging free travel on the city’s transport for anyone accompanying a disable …
Sport|Talking Horses: picking the five best races of the last decade|You might take the view that the end of the decade is actually a year away, but at least it’s 10 years since I last did something like this. I’ve limi …
Sport|England ready for tortoise and hare race in second Test at Newlands|As Harold Macmillan is supposed to have explained, there are times when the best‑laid plans disappear like melting snow in springtime and a whole new …
Politics|Whitehall reforms may lead to discrimination, says union|Boris Johnson’s “seismic” Whitehall reforms, including regular exams for senior civil servants, could lead to discrimination against staff on the grou …
Politics|Starmer says he wants Labour 'rebuilt ... as trusted force for good' as poll puts him leadership favourite – as it happened|Sir Keir Starmer, the shadow Brexit secretary, has called for Labour to be rebuilt “as a trusted force for good” following its election defeat. He was …
Sport|Faf du Plessis says form not colour determines South Africa selection|Summary: Faf du Plessis said form takes precedence over transformation after it emerged South Africa would again fail to meet their target of selecting six non …
Sport|England’s Rory Burns out of ‘cursed’ tour after rolling ankle playing football|Ben Stokes revealed this week that England’s players are calling their assignment in South Africa “the cursed tour” and yet more evidence that is the …
Politics|Keir Starmer calls to rebuild party as 'force for good'|Summary: Sir Keir Starmer, the favourite to succeed Jeremy Corbyn as Labour leader, has called for the party to become a “trusted force for good” as up to nine …
Politics|Dominic Cummings calls for 'weirdos and misfits' for No 10 jobs|Dominic Cummings, Boris Johnson’s chief adviser, has written a rambling blog calling for “weirdos and misfits with odd skills” to apply for new jobs w …
Sport|Australia v New Zealand: third Test, day one – as it happened|Here is the report of day one at the SCG. New Zealand’s disastrous tour plumbed new depths on the opening day of the Sydney Test. The visitors made fi …
Sport|Talking Horses: Gay Kelleway claims trainers are running lame horses|Gay Kelleway has made a strongly worded call for more pre-race checks of racehorses and accused some of her colleagues of sending horses to the track …
Business|Three energy firms to pay £10.5m for failings over August blackout|Three energy companies will pay a combined £10.5m for failing to prevent a power cut after a lightning strike last summer that left more than 1 millio …
Business|Private jet firm says it was duped over Carlos Ghosn escape|A Turkish private jet company has claimed it was duped into hiring the aircraft used to help the fugitive automotive boss Carlos Ghosn make a daring e …
Sport|Sandown will toast absent friends in honour of Houblon Des Obeaux|Summary: “Absent friends” must be the toast at Sandown on Saturday, where a big effort will be made to memorialise Houblon Des Obeaux, one of the gamest of ste …
Sport|Chess: Carlsen wins speed titles after controversial game with rising star|Summary: Magnus Carlsen ended his vintage year of 2019 as he began it, as a superb all-round player who outclasses his rivals. Carlsen won at Wijk in January l …
Politics|Why Iain Duncan Smith knighthood was ‘slap in the face’|The new year honours list is a reliable source of controversy, with perennial outrage about the worthiness of the recipients. But the knighthood given …
Sport|Why the Dallas Cowboys opening is the best coaching job on the market|Jason Garrett is finally, mercifully out as the Dallas Cowboys head coach. Make no mistake, this is a lifetime achievement award, not a reaction to th …
Politics|Dominic Cummings' call for No 10 staff may break employment law|A rambling blogpost by Boris Johnson’s chief adviser, Dominic Cummings, calling for “weirdos and misfits with odd skills” to apply for jobs within No …
Business|Credit card repayments exceed borrowing for first time since 2013 - as it happened|Summary: Traders woke up to news that US air strikes killed a top Iranian general, raising fresh fears of conflict between Washington and Tehran The news cause …
Politics|US failing to give UK warning of military strikes, says senior MP|The UK was not informed in advance of the US airstrike that killed Iran’s top general, it has been claimed, as the British government scrambled to pro …
Sport|Ollie Pope delivers solitary shaft of light for sorry England in second Test|Here is a tale of missed opportunities which heightens the eerie feeling that England are now embarked on a nightmarish tour of Ashes proportions. Thi …
Sport|Cricket may seem insignificant while Australia burns but it shines some light|Summary: Edgar Allan Poe wrote a brilliantly sinister short story about a man who wakes up in the night and sees a shadow against the curtains that looks just …
Sport|England need to be honest: Joe Root’s captaincy is just not working out|You had to commend Joe Root’s honesty when he walked after gloving behind a short ball from Anrich Nortje on the opening day of this second Test again …
Politics|Andrew Miller obituary|Andrew Miller, the former Labour MP, who has died aged 70, was partly responsible for one of the most far-reaching pieces of employment legislation to …
Business|Yorkshire and Clydesdale banks hit by IT failure|Customers of Clydesdale and Yorkshire banks have become the latest customers to fall victim to an IT failure after wages and other payments failed to …
Sport|'We’ll find something else': Pope says England have accepted football ban|Ollie Pope says England’s players have accepted the ban on football after the opener Rory Burns was ruled out of the rest of the series against South …
Politics|Jess Phillips confirms she will stand for Labour leadership|Jess Phillips has announced she will stand as a candidate in the Labour leadership contest. The Birmingham Yardley MP joins Emily Thornberry, Clive Le …
Politics|Lisa Nandy enters Labour leadership race with call for change|The Wigan MP Lisa Nandy has announced she will enter the Labour leadership race, with a stark warning to party members that “unless we change course, …
Sport|Talking Horses: saddle up for Sandown reward with Wild West Wind|The Veterans Chase series is made for horses like Wild West Wind (3.00), who was never the fastest and had a fallow period in mid-career but has now, …
Politics|Hunt: US confrontation with Iran is 'dangerous game of chicken'|Jeremy Hunt has called the US’s escalating confrontation with Iran over the assassination of Tehran’s top general an “incredibly dangerous game of chi …
Sport|Sportwatch: Sydney and Phoenix win again, Stars stroll BBL derby – as it happened|And that’s where we’ll leave Sportwatch. A night of close, but no cigar across many codes. The Central Coast traveled to Wellington looking to snap a …
Sport|Fiddlerontheroof wins Tolworth Hurdle in first Grade One jumps race of 2020|“The novice hurdlers are our future,” Joe Tizzard said after the Tolworth Hurdle here on Saturday and quite a future it promises to be. Fiddleronthero …
Sport|Nadal and Djokovic star as Spain and Serbia make winning starts at ATP Cup|Summary: It has been six weeks since Rafael Nadal dragged Spain through eight singles and doubles wins in five days to Davis Cup victory in Madrid. Such a tran …
Business|Carlos Ghosn: an arrest, an escape, and questions about justice in Japan|Carlos Ghosn’s dramatic escape from Japan to Lebanon last week has raised many questions over how he pulled off such an audacious act, but his motives …
Sport|South Africa 215-8 against England: second Test, day two – as it happened|Nasser: “England were absolutely superb all day, well led by Joe Root. It’s not a minefield of a pitch but Broad and Anderson got the game by the scru …
Business|Renault alliance struggles to cope with gaping hole left by Carlos Ghosn|Even before Carlos Ghosn jumped bail in the manner of a Hollywood thriller, the former executive had secured his place in automotive history. Before h …
Sport|Glorious Gloucester storm back for bonus-point win over Bath|Crowds here for years were treated to bruising encounters usually decided by uncompromising home forwards and the boot of an accurate goal-kicker, but …
Politics|I was taught that if you have a voice, you use it to help others|Anyone standing for leader of the Labour party has a responsibility to speak truth, because without that we will never win power. We cannot spend the …
Sport|David Muir, racing’s conscience, has his eyes on another hurdle|New Year’s Eve brought the end of an era as David Muir, who has spent 21 years as racing consultant to the RSPCA, completed his final shift by oversee …
Sport|Australia v New Zealand: third Test, day three – as it happened|Here’s your daily report from the SCG. Australia reasserted their authority over the third Test on day three at the SCG. Nathan Lyon was the star, spi …
Politics|Dominic Cummings warned over civil service shake-up plan|Summary: Dominic Cummings should stop denigrating senior civil servants by lumping them together as part of the same Oxbridge-educated, dinner party elite if h …
Politics|Britain 'on same page' as US over Suleimani killing, says Raab|Dominic Raab has said Britain is “on the same page” as the US in relation to Friday’s assassination of the Iranian general Qassem Suleimani. Amid cont …
Sport|Sportwatch: Sixers stun Strikers  and Victory do the double – as it happened|And this is where Sportwatch ends this Sunday. Josh Philippe and the Sixers were too good for the Strikers in the Big Bash, Melbourne Victory showed t …
Sport|Dominic Sibley nears century to put England in control against South Africa|Dominate two days in a row and a Test match victory is on the horizon. On a sultry Sunday in a country where, bizarrely, cloud cover can seem to deade …
Politics|How will the Labour leadership contest work?|When does the Labour leadership race kick off? Campaigning has already begun, with candidates including Jess Phillips and Sir Keir Starmer having laun …
Sport|Dominic Sibley is what England’s top order has needed for years|Unlike Ben Stokes or Kevin Pietersen, Dominic Sibley is a player who fills bars rather than empties them. At times watching him bat can be mind-numbin …
Politics|Labour leadership: Jess Phillips says party could argue to rejoin EU|Labour leadership contender Jess Phillips has said she could envisage campaigning to re-enter the European Union at the next general election, ahead o …
Politics|Boris Johnson: Qassem Suleimani was threat to all our interests|Boris Johnson has said that assassinated Iranian general Qassem Suleimani was “a threat to all our interests”, and that while “we will not lament his …
Business|Burger King's new plant-based burger is not suitable for vegans|Burger King has launched its first plant-based burger in the UK, but it is not suitable for vegans because of the way it is cooked. The soy-based vers …
